Key|Singular|Plural|Category|THACO|AC|MV|HD|#AT|Damage (long)|Damage (short)|SA|SD|MR|Special|Size|Int|Alignment|Psionic|Attack/Defense Modes|Frequency|No. Appearing|% in Lair|Treasure Type|Level|XP
myconid_4hd|Myconid|||15|10|9"|4|1|4d4|4d4|Spore Clouds|Poisonous Skin (1--4)|Standard||L (8'/HD)|Average|Lawful Neutral|Nil|Nil|Rare|1--12 (20--200)|70\%|S (\x 2)|III|150\+4/hp
myconid_5hd|Myconid|||15|10|9"|5|1|5d4|5d4|Spore Clouds|Poisonous Skin (1--4)|Standard||L (10'/HD)|Average|Lawful Neutral|Nil|Nil|Rare|1--12 (20--200)|70\%|S (\x 2)|IV|205\+5/hp
myconid_6hd|Myconid|||13|10|9"|6|1|6d4|6d4|Spore Clouds|Poisonous Skin (1--4)|Standard||L (12'/HD)|Average|Lawful Neutral|Nil|Nil|Rare|1--12 (20--200)|70\%|S (\x 2)|V|425\+6/hp
vegepygmy|Vegepygmy|Vegepygmies||19--13|4|12"|1--6|1|1--6 or by weapon|1--6|Surprise on 1--3|Piercing does 1 dmg; electrical no damage|immune to charm/enchantment (except if targeting plants); always have saving throw vs.\ enchantment||S|Low|Neutral|Nil|Nil|Very Rare|30--300|40\%|O, P|III---V|
vegepygmy_1hd|Vegepygmy|Vegepygmies||19|4|12"|1|1|1--6 or by weapon|1--6|Surprise on 1--3|Piercing does 1 dmg; electrical no damage|immune to charm/enchantment (except if targeting plants); always have saving throw vs.\ enchantment||S|Low|Neutral|Nil|Nil|Very Rare|-30|40\%|O, P|III|53\+1/hp
vegepygmy_2hd|Vegepygmy|Vegepygmies||16|4|12"|2|1|1--6 or by weapon|1--6|Surprise on 1--3|Piercing does 1 dmg; electrical no damage|immune to charm/enchantment (except if targeting plants); always have saving throw vs.\ enchantment||S|Low|Neutral|Nil|Nil|Very Rare|-30|40\%|O, P|III|81\+2/hp
vegepygmy_3hd|Vegepygmy|Vegepygmies||16|4|12"|3|1|1--6 or by weapon|1--6|Surprise on 1--3|Piercing does 1 dmg; electrical no damage|immune to charm/enchantment (except if targeting plants); always have saving throw vs.\ enchantment||S|Low|Neutral|Nil|Nil|Very Rare|-30|40\%|O, P|III|120\+3/hp
vegepygmy_4hd|Vegepygmy|Vegepygmies||15|4|12"|4|1|1--6 or by weapon|1--6|Surprise on 1--3|Piercing does 1 dmg; electrical no damage|immune to charm/enchantment (except if targeting plants); always have saving throw vs.\ enchantment||S|Low|Neutral|Nil|Nil|Very Rare|-30|40\%|O, P|IV|175\+4/hp
vegepygmy_5hd|Vegepygmy|Vegepygmies||15|4|12"|5|1|1--6 or by weapon|1--6|Surprise on 1--3|Piercing does 1 dmg; electrical no damage|immune to charm/enchantment (except if targeting plants); always have saving throw vs.\ enchantment||S|Low|Neutral|Nil|Nil|Very Rare|-30|40\%|O, P|IV|245\+5/hp
vegepygmy_6hd|Vegepygmy|Vegepygmies||13|4|12"|6|1|1--6 or by weapon|1--6|Surprise on 1--3|Piercing does 1 dmg; electrical no damage|immune to charm/enchantment (except if targeting plants); always have saving throw vs.\ enchantment||S|Low|Neutral|Nil|Nil|Very Rare|-30|40\%|O, P|V|426\+6/hp
