Key|Singular|Plural|Category|THACO|AC|MV|HD|#AT|Damage (long)|Damage (short)|SA|SD|MR|Special|Size|Int|Alignment|Psionic|Attack/Defense Modes|Frequency|No. Appearing|% in Lair|Treasure Type|Level|XP
basilisk|Basilisk|||13|4|6"|6+1|1|1--10|1--10|Gaze turns to stone|Nil|Standard|Gaze petrifies|M (7' long)|Animal|Neutral|Nil|Nil|Uncommon|1--4|40\%|F|VIII|1000\+8/hp
bear_black|Black Bear|||16|7|12"|3+3|3|1--3\?1--3\?1--6|2\x1--3\?1--6|Hugs: 2--8|Nil|Standard|Hug: 2--8|M (6'+ tall)|Semi-|Neutral|Nil|Nil|Common|1--3|Nil|Nil|III|85\+4/hp
bear_brown|Brown Bear|||15|6|12"|5+5|3|1--6\?1--6\?1--8|2\x1--6\?1--8|Hugs: 2--12|Nil|Standard|Hug: 2--12|L (9'+ tall)|Semi-|Neutral|Nil|Nil|Uncommon|1--6|Nil|Nil|V|300\+6/hp
bear_cave|Cave Bear|||13|6|12"|6+6|3|1--8\?1--8\?1--12|2\x1--8\?1--12|Hugs: 2--16|Nil|Standard|Hug: 2--16|L (12'+ tall)|Semi-|Neutral|Nil|Nil|Uncommon|1--2|Nil|Nil|V|475\+8/hp
beaver_giant|Giant Beaver|||15|6|6"//12"|4|1|4--16|4--16|Nil|Nil|Standard||M (6' long)|Low to average|Neutral|Nil|Nil|Very rare|10--40|80\%|C|III|60\+4/hp
beetle_bombardier|Bombardier Beetle||Beetle, Giant|16|4|9"|2+2|1|2--12|2--12|Acid Cloud|Firing Cloud|Standard|Acid Cloud; Firing Cloud|M (4' long)|Non-|Neutral|Nil|Nil|Common|3--12|Nil|Nil|III|105\+3/hp
beetle_boring|Boring Beetle||Beetle, Giant|15|3|6"|5|1|5--20|5--20|Nil|Nil|Standard||L (9' long)|Animal|Neutral|Nil|Nil|Common|3--18|40\%|C, R, S, T|III|90\+5/hp
beetle_fire|Fire Beetle||Beetle, Giant|18|4|12"|1+2|1|2--8|2--8|Nil|Nil|Standard||S (2\half' long)|Non-|Neutral|Nil|Nil|Common|3--12|Nil|Nil|I|20\+2/hp
beetle_rhinoceros|Rhinoceros Beetle||Beetle, Giant|9|2|6"|12|2|3--18\?2--16|3--18\?2--16|Nil|Nil|Standard||L (12' long plus horn)|Non-|Neutral|Nil|Nil|Uncommon|1--6|Nil|Nil|VII|2150\+16/hp
beetle_stag|Stag Beetle||Beetle, Giant|13|3|6"|7|3|4--16\?1--10\?1--10|4--16\?2\x1--10|Nil|Nil|Standard||L (10' long)|Non-|Neutral|Nil|Nil|Common|2--12|Nil|Nil|IV|225\+8/hp
beetle_water|Water Beetle||Beetle, Giant|15|3|3"/12"|4|1|3--18|3--18|Nil|Nil|Standard||L (6' long)|Non-|Neutral|Nil|Nil|Common|1--12|Nil|Nil|III|60\+4/hp
beholder|Beholder|||7--10|0\,(2,7)|3"|45-75 hit points|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|X|12900\+20/hp
beholder_10hd|Beholder|||10|0\,(2,7)|3"|10|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|VIII|4800\+14/hp
beholder_11hd|Beholder|||10|0\,(2,7)|3"|11|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|IX|6950\+16/hp
beholder_12hd|Beholder|||9|0\,(2,7)|3"|12|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|IX|6950\+16/hp
beholder_13hd|Beholder|||9|0\,(2,7)|3"|13|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|IX|9700\+18/hp
beholder_14hd|Beholder|||8|0\,(2,7)|3"|14|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|IX|9700\+18/hp
beholder_15hd|Beholder|||8|0\,(2,7)|3"|15|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|X|12900\+20/hp
beholder_16hd|Beholder|||7|0\,(2,7)|3"|16|1|2--8|2--8|Magic|Anti-magic ray|Special|Magic; Anti-magic|L (4'-6' dia.)|Exceptional|Lawful Evil|Nil|Nil|Very rare|1|80\%|I, S, T|X|12900\+20/hp
black_pudding|Black Pudding|||10|6|6"|10|1|3--24|3--24|Dissolve wood and metal|Blows, cold and lightning do not harm|Standard|Dissolve wood and metal; Blows, cold, lightning useless|S to L (5' dia. to 8' dia.)|Non-|Neutral|Nil|Nil|Uncommon|1--4|Nil|Nil|VII|1800\+14/hp
blink_dog|Blink Dog|||15|5|12"|4|1|1--6|1--6|From rear 75\% of time|Teleporting|Standard|Rear attack 75\%; Teleporting|M (3' at shoulder)|Average|Lawful Good|Nil|Nil|Rare|4--16|20\%|C|III|110\+4/hp
boar_wild|Wild Boar|||16|7|15"|3+3|1|3--12|3--12|Fights after 0 hp|Nil|Standard|Fights after 0 hp|M (3' at shoulder)|Semi-|Neutral|Nil|Nil|Common|1--12|Nil|Nil|III|85\+4/hp
boar_giant|Giant Boar|||13|6|12"|7|1|3--18|3--18|Fights after 0 hp|Nil|Standard|Fights after 0 hp|L (5' at shoulder)|Animal|Neutral|Nil|Nil|Uncommon|2--8|Nil|Nil|V|350\+8/hp
warthog|Warthog|||16|7|12"|3|2|2--8\?2--8|2--8\?2--8|Fights after 0 hp|Nil|Standard|Fights after 0 hp|M (2\half' at shoulder)|Animal|Neutral|Nil|Nil|Common|1--6|Nil|Nil|II|50\+3/hp
boar_warthog|Warthog|||16|7|12"|3|2|2--8\?2--8|2--8\?2--8|Fights after 0 hp|Nil|Standard|Fights after 0 hp|M (2\half' at shoulder)|Animal|Neutral|Nil|Nil|Common|1--6|Nil|Nil|II|50\+3/hp
brain_mole|Brain Mole|||-|9|1"|\sfrac{1}{8}|Nil|Nil|Nil|Psionic only|Nil|Standard|Psionic only|S (3" long)|Animal|Neutral|121 point attack|B/Nil|Very rare|1--3|Nil|Nil|II|31
brownie|Brownie|||20|3|12"|\half|1|1--3|1--3|Spells|Save as 9th level cleric, no surprise|As above|Spells; Save as Cleric 9, no surprise|S (1\half' tall)|High|Lawful Good|Nil|Nil|Rare|4--16|Nil|Nil|III|65\+1/hp
buffalo|Buffalo|||15|7\,(3)|15"|5|2|1--8\?1--8|1--8\?1--8|Charge|Head is AC3|Standard|Charge; Head is AC3|L (5' at shoulder)|Semi-|Neutral|Nil|Nil|Uncommon|4--24|Nil|Nil|III|130\+5/hp
bugbear|Bugbear|||16|5|9"|3+1|1|2--8 or by weapon|2--8|Surprise on a 1--3|Nil|Standard|Surprise on 1--3|L (7'+ tall)|Low to Average (low)|Chaotic Evil|Nil|Nil|Uncommon|6--36|Nil|Nil|III|135\+4/hp
bulette|Bulette|||12|2\,(4,6)|14" (3")|9|3|4--48\?3--18\?3--18|4--48\?2\x3--18|8' jump|Nil|Standard|8' jump|L (9\half' tall, 12'+ long)|Animal|Neutral|Nil|Nil|Very rare|1--2|Nil|Nil|VII|2300\+12/hp
bull|Bull|||15|7|15"|4|2|1--6\?1--6|1--6\?1--6|Charge|Nil|Standard|Charge|L (5' at shoulder)|Semi-|Neutral|Nil|Nil|Common|1--20|Nil|Nil|III|85\+4/hp
camel_wild|Wild Camel|||16|7|21"|3|1|1--4|1--4|Spitting|Nil|Standard|Spitting|L|Animal to Semi-|Neutral|Nil|Nil|Common|1--12|Nil|Nil|II|50\+3/hp
carrion_crawler|Carrion Crawler|||16|3\,(7)|12"|3+1|8|Paralysis|Paralysis|Paralysis|Nil|Standard|Paralysis|L (9' long)|Non-|Neutral|Nil|Nil|Uncommon|1--6|50\%|B|VI|580\+4/hp
catoblepas|Catoblepas|Catoblepones||13|7|6"|6+2|1|1--6\+stun|1--6\+stun|Gaze causes death|Nil|Standard|Gaze causes death, stun|L (6' at shoulder)|Semi-|Neutral|Nil|Nil|Very rare|1--3|60\%|C|VI|700\+8/hp
cattle_wild|Wild Cattle|Wild Cattle||19/16/15|7|15"|1--4|1|1--4|1--4|Stampede|Nil|Standard|Stampede|L|Semi-|Neutral|Nil|Nil|Common|20--200|Nil|Nil|II|35\+3/hp
cattle_wild_1hd|Wild Cattle|Wild Cattle||19|7|15"|1|1|1--4|1--4|Stampede|Nil|Standard|Stampede|L|Semi-|Neutral|Nil|Nil|Common|20--200|Nil|Nil|I|10\+1/hp
cattle_wild_2hd|Wild Cattle|Wild Cattle||16|7|15"|2|1|1--4|1--4|Stampede|Nil|Standard|Stampede|L|Semi-|Neutral|Nil|Nil|Common|20--200|Nil|Nil|I|20\+2/hp
cattle_wild_3hd|Wild Cattle|Wild Cattle||16|7|15"|3|1|1--4|1--4|Stampede|Nil|Standard|Stampede|L|Semi-|Neutral|Nil|Nil|Common|20--200|Nil|Nil|II|35\+3/hp
cattle_wild_4hd|Wild Cattle|Wild Cattle||15|7|15"|4|1|1--4|1--4|Stampede|Nil|Standard|Stampede|L|Semi-|Neutral|Nil|Nil|Common|20--200|Nil|Nil|III|60\+4/hp
centaur|Centaur|||15|5\,(4)|18"|4|2|1--6\?1--6|1--6\?1--6|Human weapon|Nil|Standard|Human weapon|L|Low-Average|Neutral|Nil|Nil|Rare|4--24|5\%|M, Q1, with each; D, I, T in lair|III|85\+4/hp
centipede_giant|Giant Centipede|||20|9|15"|\sfrac{1}{4}|1|Nil|Nil|Poison|Nil|Standard|Poison|S (1'+)|Non-|Neutral|Nil|Nil|Common|2--24|Nil|Nil|II|30\+1/hp
cerebral_parasite|Cerebral Parasite|||-|n/a|n/a|n/a|0|0|0|Infestation|Not harmed except by cure disease|Standard|Infestation; Killed only by cure disease|S (flea-sized)|Non-|Neutral|Nil|Nil|Rare|3--12|Nil|Nil|I|nil
chimera|Chimera|||12|6\,(5/2)|9"/18"|9|6|1--3\?1--3\?1--4\?1--4\?2--8\?3--12|2\x1--3\?2\x1--4\?2--8\?3--12|Breath weapon|Nil|Standard|Breath weapon|L (4' at shoulder)|Semi-|Chaotic Evil|Nil|Nil|Rare|1--4|40\%|F|VII|1300\+12/hp
cockatrice|Cockatrice|||15|6|6"/18"|5|1|1--3|1--3|Touch turns to stone|Nil|Standard|Touch petrifies|S|Animal|Neutral|Nil|Nil|Uncommon|1--6|30\%|D|V|315\+5/hp
couatl|Couatl|||12|5|6"/18"|9|2|1--3\?2--8|1--3\?2--8|Poison, magic use|Become ethereal|Standard|Poison, magic use; Become ethereal|M (12' long)|Genius|Lawful Good|60--110|vary|Very rare|1--4|10\%|B, I|VII|2400\+12/hp
crab_giant|Giant Crab|||16|3|9"|3|2|2--8\?2--8|2--8\?2--8|Nil|Nil|Standard||L (4'+ dia.)|Non-|Neutral|Nil|Nil|Rare|2--12|Nil|Nil|II|35\+3/hp
crayfish_giant|Giant Crayfish|Giant Crayfishes||15|4|6"//12"|4+4|2|2--12\?2--12|2--12\?2--12|Nil|Nil|Standard||L (8'+ long)|Non-|Neutral|Nil|Nil|Uncommon|1--4|Nil|Nil|III|90\+5/hp
crocodile|Crocodile||Crocodile|16|5|6"//12"|3|2|2--8\?1--12|2--8\?1--12|Nil|Nil|Standard||L (8'--15' long)|Animal|Neutral|Nil|Nil|Common|3--24|Nil|Nil|II|35\+3/hp
crocodile_giant|Giant Crocodile||Crocodile|13|4|6"//12"|7|2|3--18\?2--20|3--18\?2--20|Nil|Nil|Standard||L (21'--30' long)|Animal|Neutral|Nil|Nil|Very rare to common|1 to 2--12|Nil|Nil|V|400\+8/hp
demogorgon|Demogorgon||Demon|7|-8|15"|200 hit points|3|1--6\?1--6\?special|1--6\?1--6|Energy drain, rotting, hypnosis, beguiling, insanity, magic use, psionics|+2 or better weapon to hit, MR 95\%|95\%|Energy drain, rotting, hypnosis, beguiling, insanity, magic use, psionics; +2 weapon to hit, MR 95\%|L (18' tall)|Supra-genius|Chaotic Evil|150/head|All/all|Very rare|1|50\%|R, S, T, V|X|67000\+35/hp
juiblex|Juiblex||Demon|7|-7|3"|88 hit points|1|4--40|4--40|Spew ochre-slime, magic use, psionics|+2 or better weapon to hit, MR 65\%|65\%|Spew ochre-slime, magic use, psionics; +2 weapon to hit, MR 65\%|L (9'+ tall)|Genius|Chaotic Evil|225|All/all|Very rare|1|60\%|P (\x2), R (\x2)|X|44200\+35/hp
manes|Manes|Manes|Demon|19|7|3"|1|3|1--2\?1--2\?1--4|2\x1--2\?1--4|Nil|+1 or better weapon to hit, resistant to spells as undead|Standard|+1 weapon to hit, resistant to spells as undead|S (3' tall)|Semi-|Chaotic Evil|Nil|Nil|Rare|4--16|Nil|Nil|I|18\+1/hp
orcus|Orcus||Demon|7\,(1)|-6|9"/18"|120 hit points|2|1--4\?3--13\?2--8|1--4\?3--13\?2--8|Poison (-4 on save), death wand, magic use, psionics|+3 or better weapon to hit, MR 85\%|85\%|Poison (-4 on save), death wand, magic use, psionics; +3 weapon to hit, MR 85\%|L (15' tall)|Supra-genius|Chaotic Evil|350|All/all|Very rare|1|50\%|P, S, T, U|X|58800\+35/hp
succubus|Succubus|Succubi|Demon|13|0|12"/18"|6|2|1--3\?1--3|1--3\?1--3|Energy drain, magic use, psionics|+1 or better weapon to hit, MR 70\%|70\%|Energy drain, magic use, psionics; +1 weapon to hit, MR 70\%|M (6' tall)|Exceptional|Chaotic Evil|200|D/G, I|Rare|1|5\%|I, Q|VII|2100\+6/hp
type_I_demon|Type I Demon||Demon|12|0|12"/18"|8|5|1--4\?1--4\?1--8\?1--8\?1--6|2\x1--4\?2\x1--8\?1--6|Magic use|MR 50\%|50\%|Magic use; MR 50\%|L (8\half' tall)|Low|Chaotic Evil|Nil|Nil|Common|1--6|5\%|B|VII|1275\+10/hp
type_II_demon|Type II Demon||Demon|12|-2|6"//12"|9|3|1--3\?1--3\?4--16|2\x1--3\?4--16|Magic use, psionics|MR 55\%|55\%|Magic use, psionics; MR 55\%|L (7'+ tall)|Low|Chaotic Evil|100|E/F, G|Common|1--6|10\%|C|VII|2000\+12/hp
type_III_demon|Type III Demon||Demon|10|-4|9"|10|5|2--12\?2--12\?1--3\?1--3\?2--5|2\x2--12\?2\x1--3\?2--5|Magic use, psionics|MR 60\%|60\%|Magic use, psionics; MR 60\%|L (9\half' tall)|Average|Chaotic Evil|100|E/F|Uncommon|1--6|15\%|D|VII|2400\+14/hp
type_IV_demon|Type IV Demon||Demon|8|-1|9"/12"|11|3|1--4\?1--4\?2--8|2\x1--4\?2--8|+2 to hit, magic use, psionics|+1 or better weapon to hit, MR 65\%|65\%|+2 to hit, magic use, psionics; +1 weapon to hit, MR 65\%|L (10\half'+ tall)|Very|Chaotic Evil|150|A, C, E/F, G, H|Uncommon|1--6|15\%|E|VII|3000\+16/hp
type_V_demon|Type V Demon||Demon|12|-7\,(-5)|12"|7+7|7|2--8\?6\x weapon|2--8\?6\x weapon|Magic use, psionics|+1 or better weapon to hit, MR 80\%|80\%|Magic use, psionics; +1 weapon to hit, MR 80\%|L (7' tall)|High|Chaotic Evil|130|A, E/F, G, H|Rare|1--6|10\%|G|VII|1900\+10/hp
type_VI_demon|Type VI Demon||Demon|12|-2|6"/16"|8+8|1|2--13|2--13|Whip \& flame for 2--12\?3--18\?4--24, magic use, psionics|+1 or better weapon to hit, MR 75\%|75\%|Whip \& immolate, magic use, psionics; +1 weapon to hit, MR 75\%|L (12' tall)|High|Chaotic Evil|180|A, B, C, E/F, G, H|Rare|1--6|20\%|F|VIII|3600\+12/hp
yeenoghu|Yeenoghu||Demon|7|-5|18"|100 hit points|1|3--18|3--18|Paralyzation \& confusion with flail, magic use, psionics|+1 or better weapon to hit, MR 80\%, regenerates 3hp/hr.|80\%|Paralyzation \& confusion with flail, magic use, psionics; +1 weapon to hit, MR 80\%, regen 3hp/hr.|L (12' tall)|Exceptional|Chaotic Evil|300|All/all|Very rare|1|35\%|C, G, I|X|51000\+35/hp
asmodeus|Asmodeus||Devil|7|-7|12"/24"|199 hit points|1|4--14|4--14|Rod, magic use, psionics|+3 or better weapon to hit, MR 90\%|90\%|Rod, magic use, psionics; +3 weapon to hit, MR 90\%|L (13\half' tall)|Supra-genius|Lawful Evil|366|All/all|Very rare|1|90\%|I, R, U, V|X|64000\+35/hp
baalzebul|Baalzebul||Devil|7|-5|9"/24"|166 hit points|1|2--12\+poison|2--12|Poison, magic use, psionics|+3 or better weapon to hit, MR 85\%|85\%|Poison, magic use, psionics; +3 weapon to hit, MR 85\%|L (12' tall)|Genius|Lawful Evil|313|All/all|Very rare|1|80\%|E, R, V|X|55600\+35/hp
barbed_devil|Barbed Devil|Barbed Devils|Devil|12|0|12"|8|3|2--8\?2--8\?3--12|2\x2--8\?3--12|Fear, magic use|Never surprised, MR 35\%|35\%|Fear, magic use; no surprise, MR 35\%|M (7' tall)|Very|Lawful Evil|Nil|Nil|Uncommon|1--2|50\%|Nil|VII|1625\+10/hp
bone_devil|Bone Devil|Bone Devils|Devil|12|-1|15"|9|1|3--12|3--12|Bone hook, tail (2--8\+1--4 STR points lost), magic use|MR 40\%|40\%|Bone hook, tail (2--8\+STR drain), magic use; MR 40\%|L (9\half' tall)|Very|Lawful Evil|Nil|Nil|Uncommon|1--2|55\%|Nil|VII|2800\+12/hp
dispater|Dispater||Devil|7|-2|15"|144 hit points|1|4--24|4--24|Rod, magic use, psionics|+2 or better weapon to hit, MR 80\%|80\%|Rod, magic use, psionics; +2 weapon to hit, MR 80\%|M (7' tall)|Genius|Lawful Evil|266|All/all|Very rare|1|80\%|Q (\x10), S|X|43000\+35/hp
erinyes|Erinyes|Erinyes|Devil|13|2|6"/21"|6+6|1|2--8|2--8|Pain poison, rope of entanglement, magic use|MR 30\%|30\%|Pain poison, rope of entanglement, magic use; MR 30\%|M (6' tall)|Average|Lawful Evil|Nil|Nil|Uncommon|1--3|20\%|R|VI|875\+8/hp
geryon|Geryon||Devil|7|-3|3"/18"|133 hit points|3|3--18\?3--18\?2--8|2\x3--18\?2--8|Poison, horn of minotaur summoning (5--20), magic use, psionics|+2 or better weapon to hit, MR 75\%|75\%|Poison, horn of minotaur summoning, magic use, psionics; +2 weapon to hit, MR 75\%|L (10' tall, 30' long)|Exceptional|Lawful Evil|213|All/all|Very rare|1|70\%|H, R|X|43400\+35/hp
horned_devil|Horned Devil|Horned Devils|Devil|13|-5|9"/18"|5+5|4 or +1 weapon|1--4\?1--4\?2--5\?1--3 or 1--3 and weapon|2\x1--4\?2--5\?1--3 or 1--3|Tail, spell use, fear, psionics, fork (2--12) or whip (1--4\+stun)|+1 or better weapon to hit, MR 50\%|50\%|Tail, spells, fear, psionics, weapons, stun; +1 weapon to hit, MR 50\%|L (9' tall)|High|Lawful Evil|113|B, C/F, G, H|Uncommon|1--2|55\%|I|VII|1100\+6/hp
ice_devil|Ice Devil|Ice Devils|Devil|10|-4|6"|11|4|1--4\?1--4\?2--8\?3--12|2\x1--4\?2--8\?3--12|Weapon, magic use, fear, psionics|+2 or better weapon to hit, regeneration, MR 55\%|55\%|Weapon, magic use, fear, psionics; +2 weapon to hit, regen, MR 55\%|L (10\half' tall)|High|Lawful Evil|166|C, D/F, G, H|Uncommon|1|60\%|Q, R|VIII|4400\+16/hp
lemure|Lemure||Devil|16|7|3"|3|1|1--3|1--3|Nil|Regeneration, spell immunity (charm, sleep, etc.)|Standard|Regeneration, charm/sleep immunity|M|Semi-|Lawful Evil|Nil|Nil|Common|5--30|100\%|Nil|III|65\+3/hp
pit_fiend|Pit Fiend||Devil|9|-3|6"/15"|13|2|5--8\?7--12|5--8\?7--12|Tail (2--8), magic use, psionics|+2 or better weapon to hit, regeneration, MR 65\%|65\%|Tail, magic use, psionics; +2 weapon to hit, regen, MR 65\%|L (12' tall)|Exceptional|Lawful Evil|213|A, C, E/G, H, I|Rare|1|65\%|J, R|IX|8000\+18/hp
anatosaurus|Anatosaurus||Dinosaur|9|5|12"|12|1|1--4|1--4|Nil|Nil|Standard||L (30'+ long)|Non-|Neutral|Nil|Nil|Common|2--12|Nil|Nil|VII|1300\+16/hp
ankylosaurus|Ankylosaurus||Dinosaur|12|0|6"|9|1|3--18|3--18|Nil|Nil|Standard||L (15'+ long)|Non-|Neutral|Nil|Nil|Uncommon|2--5|Nil|Nil|VI|900\+12/hp
antrodemus|Antrodemus||Dinosaur|8|5|15"|15|3|1--4\?1--4\?6--24|2\x1--4\?6--24|Nil|Nil|Standard||L (30' long)|Non-|Neutral|Nil|Nil|Uncommon|1--2|Nil|Nil|VII|2400\+20/hp
apatosaurus|Apatosaurus||Dinosaur|7|5|6"|30|1|3--18|3--18|Step on (4--40)|Nil|Standard|Step on (4--40)|L (70' long)|Non-|Neutral|Nil|Nil|Common|1--6|Nil|Nil|VIII|8000\+35/hp
archelon_ischyras|Archelon Ischyras||Dinosaur|13|3|3"//15"|7|1|3--12|3--12|Nil|Nil|Standard||L (12' dia.)|Non-|Neutral|Nil|Nil|Uncommon|1--4|Nil|Nil|IV|225\+8/hp
brachiosaurus|Brachiosaurus||Dinosaur|7|5|6"|36|1|5--20|5--20|Step on (8--80)|Nil|Standard|Step on (8--80)|L (60' long)|Non-|Neutral|Nil|Nil|Uncommon|1--6|Nil|Nil|VIII|8000\+35/hp
camarasaurus|Camarasaurus||Dinosaur|7|6|6"|20|1|3--12|3--12|Step on (3--30)|Nil|Standard|Step on (3--30)|L (50' long)|Non-|Neutral|Nil|Nil|Common|2--8|Nil|Nil|VIII|6500\+30/hp
